beta,M,sM,chi,schi
0.25,0.07851999999999999,0.0015733433271222148,99.00971750000002,0.032711369039272783
0.28,0.08978125,0.0017914411402511596,110.56176810000002,0.04164790457568887
0.41,0.237935,0.004541230924643395,150.47143705000002,0.2506006523603711
0.45,0.4435525,0.007604350915758689,135.90914625,0.5422567563645442
0.47,0.57216625,0.009666436389945333,117.46975432500003,0.6428312331688535
0.49,0.7178025,0.010932378597470796,89.66779744999995,0.6112071508367121
0.52,0.82104875,0.011386709412577647,65.4151849,0.4939706018843763
0.75,0.9842687499999999,0.00021070359716762087,9.311233124999989,0.12275167957706845
0.85,0.9928262499999998,0.00012717464462059654,4.838656875000012,0.0851403953608798
