beta,M,sM,chi,schi
0.1,0.0497275,0.0008172602315024085,39.83969583333339,0.007212237543647336
0.2,0.0650075,0.0010605004648727742,79.46002233333344,0.016303927230550977
0.3,0.09964083333333333,0.0016017698535598516,118.15266049999993,0.0377698697911432
0.32,0.110215,0.0017805022132762098,125.5642752,0.04766145097991437
0.34,0.12640583333333333,0.0020309958134690246,132.63398016666665,0.06147436616075602
0.38,0.17233833333333332,0.0027565014352435952,145.0680323999999,0.11804854436498399
0.4,0.21994833333333333,0.0034416384661206767,148.602032,0.1780588143278219
0.42,0.27533083333333336,0.004235990570220308,149.90081329999998,0.2536073920344222
0.44,0.38077999999999995,0.005600987123646979,142.44033906666667,0.3807241276833667
0.48,0.66124,0.008738974474513798,101.33231359999994,0.5149229123810373
0.5,0.7612658333333332,0.009967314911558708,80.04158083333327,0.462370655468484
0.6,0.9364825000000001,0.0004982312649792037,29.162668999999994,0.21487287425764073
0.7,0.9755216666666667,0.00023512214221391248,13.447219333333347,0.12613523365853535
0.8,0.9892108333333333,0.00013618699316190775,6.8322066666666785,0.08530772312564375
0.9,0.9949533333333334,8.062893975444511e-05,3.6103890000000125,0.057434295851403264
